Kalenjin,Kiswahili
wirchi oleloo keumianso agoba siaset amu kibeti sait ochei ,"Tupilia mbali kujeruhiana ikiwa sababu ya kisiasa, kuna upotezaji wa wakati."
Kikotorit kamersaishek konam chorik ,Kamera zimesaidia kunasa wezi ambao wameadhibiwa 
Mininget ab toretet koboru kole momi tesetaetabkei neyemi komaswek chu,Udogo wa mchango inaonyesha  kwamba hakuna shughuli  za maendeleo katika sekta hii
Kipakenge eng mungaret koibu tesetabtai,Kusaidiana na wenzako kunaweza kuongeza tija kazini
Amache ipaun lakwet ap tupchennyu,Nataka kwenda kumwosha mtoto wa ndugu yangu
Ko derevaindet neya koirie karit akot kotomo koit ole kamache toretet ,Lakini dereva mbaya atalivunja gari kabla ya kulifikisha mahali ambapo litahitaji msaada
Kakotau kondochi emenyo komnye kandoindetap emet,Rais ameanza kuongoza taifa letu vizuri.
Notok anyun ko tononi batishet eng' emet,"Hivyo basi, kilimo nchini kitaimarika."
yechoru asista kobet rewonde,Jua likija umande unatoweka
nebo iman kokikortotis eng kabwotutikwach ng'alekab kibagenge,Bila shaka mambo ya umoja yaliwaninginia mawazoni.
chang che korib rabin ab bik che ae kasishek,Baadhi ya makampuni yalipunguza mishahara ya watu.
Ano oling'wong' imi yu?,Kwenu ni wapi ukiwa hapa?
kiiryony ya koityi temburiek,Alipiga chafya alipofikiwa na vumbi
kikiipchi ngoroik che lelach,Walimletea mavazi mapya.
kamete kamugenyu ne kikertoi amu kiaee komek mising,nlipoteza uwezo wa kuona baada ya kulewa sana
Eng' komasta ab kericho ko mito namet ab asoya eng' kandoishek,Ufisadi kule Kericho iko kati ya viongozi
Tumeit nitok ko komuchi komwaita piik che borie namet ab asoya,Tume hii huweza kushtaki watu wanao pambana na ufisadi 
 Tenye biik che chang nyalil kong'ololi kotee ne bo Kiswahili., Watu wengi wana shida ya kuzumgumza lugha ya kiswahili.
Mokochoronik ko boiboyet nyo, Wajukuu ni furaha yetu.
Kikonyitii gei eng'  kaa, Tunaheshimiana katika familia.
Haji ko kitinyi makishe sosom a sokol ko werto.,Haji alikuwa na alama  thelethini na tisa akiwa mvulana
mabaibaitun lagookab sugul chechang kongas kole sugulishek chebo aeng chechang komatinye somanet noto ago ngering konetik,Pia wanagenzi huishia kuvunjika mioyo yao pale tu wanaposikia kuwa shule nyingi kutokuwa na masomo haya na ndio maana walimu ni haba. 
Abwoti kou ripik ak kalyet neibwoti boriet,Nakumbuka kama mwanajeshi akumbukavyo vita
meisot biik chechang omu kirorchi koristo,wengi hukosa oksijeni na kuaga
"eng' ne tai ko kikinyoru eng'Wuhan, China arawetab disemba, eng' kenyitab elfutoeng' taman ak sokol","Kwa mara ya kwanza, vilipatikana Wuhan, China mwezi Disemba, mwaka elfu mbili, kumi na tisa."
netai koki isarawan kandoinde noto,kwanza wamemdhalilisha kiongozi huyo
Ngo taret serikalit kabatik,Serikali pia iwasaidie wakulima
kiityol kipsomaninik kiptulitab kelyek,wanafunzi waliupasua mpira wa miguu
barutik che kiboisien keebe koikab bolutik ko indei biik bokwondi,Baruti zitumiwazo kupasulia miamba ya madini Kuwashtua watu.
Oret ab garit ab mat ko tareti koibe tuguk koba emet ab sang' kou Ethiopia ak Uganda,Miundo msingi kama reli huwezesha Kenya kusambaza bidhaa za nchi kwa nchi za kigeni kama Uganda na Ethiopia.
kisoom kwondab Gwiji biik chekiba tubenyin komtoibu ng'wonin asimoibu sosye,Mkewe Gwiji aliwahimiza waliohudhuria mazishi yake kutohinikiza uchungu wasije wakafanya kisasi.
biitu nyasusiet ngo tuguuk chegiboishen komut biik ko magororon ,"Hata hivyo, ajali huweza kusababishwa iwapo vyombo vya uchukuzi vikiwa vibovu."
kitebegei meneja tuguk chechang,Meneja alijiuliza mambo mengi
chamiet ab kap chi ko labkei eng bik,Upendo wa familia ni mwanga wetu.
kenyo nyicheng ne eng kotap lakokchu inye panindet,Kwa wanangu umekuja kufanya nini wewe mtoto mchawi?
Kiyoni chelewenishei kole nyoru kandoindet netoriti komainyalil ichek,Wachaguzi walitarajia kupata kiongozi atakayewasaidia bila kuwanyanyasa
Kiyat kutit akoker konyek akotie metit keunyi nebo tai,Alipiga mwayo kisha akafunga macho na kukiegesha kichwa katika kitanga cha mkono wake wa kushoto.
nyolchin kipsomaninik konetkei koteekab sang, Wanafunzi wanapaswa kujifunza lugha za kigeni .
Oboro anan oribo atestai areriok? ,Mwaniua au ndipo mnanitunza niendelee kuwanyonyesha?
mabirgei ematushwek,Nchi hazikupigana.        
"Somok, iboru komaskwek che lelach kou SGR ","Tatu, hufunua maeneo mapya, kama vile SGR ."
Kiteb Kata kora,Kata akauliza tena.
Kikas Asisi nyigisindab sigindet,Asisi alihisi uzito wa mama mzazi.
Kingat,aliamuru.
Wendi kaa chi tukul sait lo,Kila mtu ataenda nyumbani saa sita
yo bendi segiroikab chumbek korwaee kegeerei yo sindonigei,Ama kweli farasi huenda mbio hujulikana katika mashindano 
kiuu biik che chang' kobunu townit koba kokwet ya kiibet boisiet,Watu wengi walihama kutoka mijini kwenda vijijini walipo poteza kazi zao
Kichelewanyo kipsomaninik koitu sukul koitu eng kasarta, Wanafunzi walichelewa kufika uwanjani kwa wakati.
Mache koba kandoik mbaronik ab kabatik koro ole mito nyalilwek,Maafisa hao  wanafaa kuzuru mashamba ya wakulima hao na kuangalia shida zinazowakumba pamoja
kiesho Khan koal tukuk choto ki ngalalet ab bik ongeng,Khan alikataa ununuzi huo alipodokezwa kuhusu biashara ya wawili hao.
chaman kamenyon  nekeyai  nea,mama anatupenda sana.
Kabarunet chotok konetok akoyai bik koek,Maonyesho haya yatawafunza na kuwafanya watu wawe
Tun atunisiei eng kaniset nenyon amu kikechop kokararanit,Siku zijazo nitaoleka katika kanisa letu kwa kuwa limejengwa kuwa vizuri
 Biik ab Kimbo ko toretekei eng kiit agetugul., Watu wa kijiji la Kimbo wanashirikiana katika jambo lolote.
Tanzania ko emet ne won  bananda,Tanzia ni nchi  ya umaskini.
Boishonik ab kila kou toretet chemuch makoi komeny biik komatindoi,Hultduma za kimsingi ni zile huduma ambazo mwanadamu hawezi kuishi bila.
"kosubgei ak nekimwou,kokiinam kolaanygei kukor ak kokoe ak koyai biikab oret komonyoru ole kilitei","Kulingana na mdokezi, mzee na bibi walianza kushindana na kufanya familia kukosa mwelekeo."
Amache atesetai poisyennyu asiaitchi magennyu,Nataka kuendeleza kazi yangu ili kufikia malengo 
somanee ko kerkeiak nyeitaetab tukuk ab emet,  Elimu ni kama uwekezaji katika mustabali wa taifa
kap chi ko chamiet ak baibaiet,Familia inakua kwa upendo na furaha
eng choto koyae kochangit mising robinik chegebaishen,"Zaidi ya hayo, gharama huwa ya juu."
kile maaldae tuyet ngwai ko kakichochyi kobarasta eng chakchyinet,"Walipotiliwa shaka, waliweka tangazo la haraka, tena bila kutoa sababu, wakasema hawauzi shirika."
 Kiyewo aji sukulitab barak kuger biik cachee kotesetai ak tabiait kinye.,Haji baada ya kuenda chuoni alishangaa kuona wahusika hawa bado  huendelea na tabia ile ile.
 Ne bo let eng orodait.,wa mwisho kwenye orodha.
Kesir konyone yeitinye kamuktaet eng kasarta ne koi,Ufanisi huja kwa juhudi na uvumilivu wa muda mrefu.
Kiteb Kijasiri ,Kijasiri aliuliza.
Kikonekei biik ab chamait kotilil kiwanjet neywon,Wanachama walijitolea kufanya usafi katika mazingira yao.
Kiit chitkul mapema sikul akot Kimutai nechame kochelewani,Kila mtu aliwasili mapema shuleni hata Kimutai anayependa kuchelewa
"nebo aeng,yaegee nyasut agoba atepto neya","Pili, ajali nyingi hutokana na utovu wa nidhamu"
ak alak kendeno lamit ageyai koegigitu asimachangit karishek eng oret ,Aidha zingine zitiwe lami na zipanuliwe ziwe kubwa na pana kupunguza msongamano
igatekei kelyek,Wanasalimiana kwa miguu.
"Sopet ko panda,tiemutik ko oret ne kitese tai","Maisha ni safari, mtihani ni njia ya kuendelea."
Kimakotinyei kiy katyaretab kiptulit nganda kimi terchinosiek eng kwenutab kandoik,"Shirika la kandanda lilikuwa tupu na licha ya tofauti miongoni mwa viongozi wao, visa vya kufuja pesa vilikithiri."
eng' islamek ko mekat konamgei kelyek ak  buiwek saitab saet,"Kwa waisilamu, ni lazima watu wanaposali msikitini miguu na mabega kushikana,"
Tuten  pik  che mamache kasit ab out ,watu wachache hawapendi kazi ya mkono
meche kogeer nderefainik kole miten kiy tuguk komnyei asigowendi oret ,Madereva wanapaswa kuhakikisha viungo vya uchukuzi vipo sawa kabla ya kujiingiza barabarani.
Kiwach kingoret eng chi nikinyor chi nikimee,Kengele ya kanisa ilita rangi kwa heshima ya mwanachama aliyeondokewa.
"kineywon choto, lembekta buch","aliniekelea hayo, ni uwongo mtupu"
Yeitinye chi poipoiyet eng' muguleldo ko karoronitu sopet,"Wakati uko na furaha moyoni, maisha yanakuwa mazuri zaidi."
kikimwachi kole koger choton che kiae bik che kimi koae kasit, alieleza kufuatia hali hiyo wamiliki wengi wamekosa watu watao fanya kazi
Kitoku kole bo cheko amu kikanerio," 	Walionekana wenye maziwa kwa njisi walivyonona"
sukulit ko tuku kokwee, Shule bad ni sehemu ya jamii.
 Nyoru keteshie ne bo somanee robishe che chang ochei., Wizara ya elimu upata pesa nyingi sana.
nyalil eng kibananik ko nem asoya si konyor lagok kwai poishet,kwa maskini kutooa rushwa kwao hili watoto wapate kazi ni tabu
maame chu bae bik ak kotil borto,"Hii haitoshi, wanawauwa au kuwakata sehemu za mwili."
kobeku ureryet kokiunygei Liwazo ak Gwiji eng orit nebo loritab makayek,Mchezo unamalizika Liwazo na Gwiji wakiwa wamejificha ndani ya lori la makaa
Minutik alak kopitos eng' chepchepindo,Mimmea fulani inamea kwa haraka
 Itinye kaboruno nee bondenyuu?,Una maana gani mume wangu?
Kochanga ooo ak oo cheimuchi konerechi oindet agot,Na hoo na ooo zikawa nyingi kiasi cha kumfanya hata Ibilisi kukasirika.
boto lagok che mengechen biik che kinyoru koroito noto bo korona,miongoni mwa Watu waliopata ugonjwa huo ni watoto wa umri mdogo
Wiseek che bo kengus kelto koyoe biich kerori.,Mbio za kufua miguu ni mchezo wa kuchekesha. 
amei lakwet makatiat ak chego,Mtoto anakula mkate na maziwa
Koistoeno chechuket ,Mmeniondolea changu.
kimwoe kole kiyoe che mekotin,"Waama, lisilobudi hutendwa. "
kiwolu boisionik amu kikicheru biik alak eng' boisionik aku che king'etu kikochini robinik nusu anan tutegen,"kazi sasa zimeadimika kwa sababu watu wengi wamepigwa kalamu na waliobaki, wanalipwa mshahara nusu ama kidogo."
kitooku kiit agenge yekingosiokukei ng'alechoto,Jambo moja lilikuwa dhahiri mambo haya yalipoanza kufichuka.
 Kokwonik ko bo boiboiye ne oo., Kijiji hiki ni mahali pa furaha sana.
kaborunekab tukun kukoine kipsomaninik kutesta kusoman, Maonyesho ya sana inaweza kupea wanafunzi motisha ya kuedelea kusoma.
ibwati babanyi kotorochi ak kopukchi rirek,Anakumbuka babake akimkumbatia na kumpangusa machozi.
Amitwogik che miach koipu boiboiyet ak kimnatet,Mlo bora huleta furaha na nguvu.
"ne tinyei tunguyondetab korona ko tinyei tunguyonde ne ang'er, lole ne kiyam,kitam aku makasei ta kiam kiy","Muathiriwa wa virusi vya corona huwa na homa kali, kikohozi kikavu uchovu na ukosefu wa hamu ya chakula"
Kimwei manongotionyu kingoker kole mosobei lakwet ,Mume wangu alinitoroka baada ya kuona mtoto haponi!
kigoreek serikalit robinik chebo sugul cheginietegei,Lau serikali ingepunguza karo za shule za mafunzo
banda neoo nebo talamok kokiibu orogrnet mising,Msambao wa kasi wa nzige wazua hofu tele
keny kogingine sugulit nito eng ola tugul,Enzini chuo hiki kilikuwa kinatambulika kote nchini. 
petusiek tugul ak inye ko petut ne kararan, Kila siku nawe ni siku njema
ibwaat ile tiwmutik che ike che klasit angwan kolekiten,Kumbuka mtihani  wako wa kidato cha nne unakaribia.
Mamiten  pik imbar che semberishe,Watu wa kupalilia hawako shamba
Kutikab korona eng' sukul ko kicholi pich,Virusi vya korona shuleni ilikuwa ya kutisha
 kokol ngweng che tera]otin ak ketii che bo lokoek,Akapanda mboga na kila aina  ya miti izaayo matunda.
uhuru kenyatta ko kotaretis eng' eshoet ab asoya chutok,Uhuru Kenyatta imepiga hatua mbele katika kupigana na kukabiliana na ufisadi Hizi
"usit, sindanut nebo taraset chegosomane","nyuzi, sindano na darasa la kusomea."
"Tomoche kendoiwa, kiwol ","Bado nahitaji kuongozwa, alijibu."
Konyin ko kit nebo tai sikosulda boishet,Heshima ni jambo la kwanza linalochangia ufanisi wa kazi
Chamyet newon nea natinyenen bamongo  ,Baba anatupenda ssna
"ye kibeer ak tai, kiimuch komito ak lagokwak sigik","Wazazi wameweza kuwa na watoto wao karibu, kulingana na hapo awali."
Kakiletapkei age tugul ko tesei eng oretap kesir,Kila jitihada inachangia kwenye mstari wa mafanikio.
nomiik chekoni omunee nebo ngoroik che nuok ko nyoluu keipchi kakwoutik che kiim,Wabakaji wanaotoa uvaaji wa nguo fupi kama sababu yao kutekeleza kitendo hicho cha uhalifu wanafaa kuchukuliwa hatua kali.
Kisherekean kaniset betut nikime ak ko nget cheso ,Waumini walisherehekea Pasaka na ibada ya mapambazuko.
geret noto koyae lagookab sugul komamagen kiiy somanetab nabishet,Mtazamo huo huwafanya wanagenzi kuyapuuza masomo ya kiufundi.
Kiamei amitwokik an kemoi tugul,. Tunakula chakula cha jioni pamoja.
ara ngo nekalenjin kiserei pik chekitar sukul?,Tena nani amekwambia watu wanawaajiri wahafili wa vyuo vikuu?
Kikonyitii biik Che kikoechekitu eng kaa, Tunawaheshimu wazee wa familia.
Bo komonut mising telelchinetab chepkondok eng' mungaret,Usimamizi wa kifedha ni muhimu kwa  biashara
Keket boskilii ko oree akenge ne kararan ne kiboiboiekei.,Kuendesha baiskeli ni njia nzuri ya kujiburudisha. 
Kikiro beliot lok che kiame sokek eng keti ngwai,Tuliona ndovu sita wakila majani katika mti wao
kogeny komeche koamtoi kotinyei imanda ,Tena ni vizuri watuwahubiriwe wawe na ukweli
kororon kahawek omu yekaikool netai komaiwekchinigei kou bandek anan keswek alak,"Kahawa ni nzuri kwa sababu ukiipanda  kwa mara ya kwanza, huhitaji kupanda kwa mara nyingi kama vile mahindi au mimea mingine."
oldi inendet kiplekwet agenge  ne tinyei kenyit agenge ak nusu,Yeye humuuza sungura mmoja mwenye umri wa mwezi mmoja na nusu.
sasishet akoba itondap chii kobo nyalil eng emet,wa ubaguzi wa rangi ni changamoto kuu
Nyalu keporu konyit eng' sigik chok,Tunapaswa kuonyesha heshima kwa wazazi wetu
Boto Kampunisiek che kiker akobo koroitab korona  Modern coast ak Mombasa Raha,Mfano wa makampuni yaliyofungwa kwasababu ya ugonjwa wa corona ni Mombasa Raha na Modern Coast.
Inoni oche beshe nekimeche kochut ofisit.,Anakumbuka vyema siku hiyo alipokuwa anangoja kuingia  katika ofisi. 
Kiker Liwazo kokakotu,Liwazo aliona kautua
Kitiegen boishonik che mengech asikonyor akot amitwokik,Walitegemea vibarua vya hapa na pale ili kupata angaa chakula
kipsomaninik che bo taonit ko kiinyoku eng chokchone amu kitenge  kompyutaishe,Wanafunzi wengi wa mjini walituma haraka kwa sababu walikuwa na  vipatakilishi kwao manyumbani.
kiyai korona komatinye biik muguleldab konunoe,Corona imefanya watu kutokua na moyo wa kutoa
mangu ngalechu ochei yo kibirei kuret,Hii hutokea sana katika siku za kupiga kura. 
Kiyai kutik ab korona maba kipsomanik sukul eng' arawek tisap,Korona imesababisha kuathiri wasomi  kukosa kuwa shuleni na kukosa kusoma takriban miezi saba.
 Kinam kirwakinte chorii che kimilei biik ab kokwee., Chifu alishika jangili wanaosumbua wana kijiji.
rariot ng'un ko tiendo nebo muguleldo nenyun, Kila kicheko chako ni melody ya moyo wangu.
eng' betusiechoto ko kimito kaimutik che echen emetab Afrikait murot katam,Wakati huo nchini Afrika Kusini kulikuwa na tatizo kubwa sana.
tos ki inaamta ng'o?,Alimwambukiza nani?
"kiibet emotinwek alak robinik che kimukeboisie eng'  tuguk alak cheu teksetab ortinwek, kapkerich ak sukulisiek","Nchi nyingi zilipoteza fedha nyingi ambazo zingetumiwa kufanya mambo mengine kama  ujenzi wa barabara, zahanati, na shule."
Tuten  pik che kimiten tuyet noton ,watu wachache walikuwa  mkuano iyo
Somanet ko kandeutikap karta ak ngomnotet,Elimu ni uwekezaji wa muda na akili.
Kipiregei amu tupcheshek,Tunapigana  kwa ajili ya familia.
mito namet ab asoya emet ab kenya,Ufisadi imetawala kenya
nyoolu koriib rotiosiekab Kenya eng nyiganstet kou ye kiyai Kukoe Moi, wanapaswa kulinda mipaka ya Kenya kwa ukali jinsi Mzee Moi alivyofanya.
awae kuchutok atinye neregek kou chitoab emet ab kenya,Ninasema hivi nikiwa na hamaiki kama mwananchi wa nchi hii ya Kenya  Utakuta mtu baada ya kujaribu jinsi ya kufaulu maishani wanaingiza Ukabila Katika shughuli zake.
mati us chito noto ne imyoni aku kiruu,usimsumbue mgonjwa huyo aliyelala
maibor kei nyikanatet kole kanyor kelunotet,Kijasiri hakuonyesha kufadhaika.
kichopke lokok kotai kampenit ab kechangan rabisiek,Kikundi cha vijana kilianzisha kampeni ya kuchangisha fedha.
 Kimokugas kole betushe chuk koumianik weriik.,Wangesikia kilio chake kuwa watoto wa jinsia hii siku hizi wanateseka?  
Kikokoch sukulishek bik tugul kasarta nebo somanet,"Shule za msingi na upili, vyuo vikuu vyote vimewapa watu wotw fursa ya kupata elimu"
"kokeny,ko semberi kiboitinikcho ak kobiite kerichek cheborei mionwokik","Kando na hayo, wafanyakazi wetu huondoa  magugu shambani na hunyunyuzia dawa za kuangamiza magonjwa"
Kwaya ab kaniset kokitien tienwokik kotienjin biik cheosen,Kwaya ya kanisa ilimwimbia wimbo wa Krismasi kwa wakazi wa nyumba za wazee.
kikindene ng'atutik che ang'eren  che yoe boisiet tuwai ak wizaraitab chamanetab borto,Sheria kali ziliwekwa zikifanya kazi bega kwa bega na Wizara ya Afya na usalama.
Boisie kipsomaninik che chang mtandaoit kosomonik.,Wanafunzi wengi wanatumia mtandao kusoma.
motinye ane kasarta nekooi neomeng'isiei,Mimi sina muda mrefu sana wa kuishi.
emotinwek che mokorek kotinyei bolutik chechang,mataifa tajiri huwa na madini mengi
nebo mungaret nebo emet ago toret kesemgwai,wa uchumi wa nchi na kuboresha hali ya mapato.
eng tait ab mama nenyin ko karir eng ngwanindo,mbele ya mamake alilia kwa uchungu
kigonget chepyosok komatinyei lagook ago lagoob chematinyei sigiik,Wanawake wamebaki kuwa wajane watoto wamekuwa mayatima.
Eng kasartab takikaisiek taman kokikainde tugul tai ako kichopot kokur baorinik,"Kwa muda wa dakika kama kumi, alikuwa amebwaga yote mbele ya korti na alikuwatayari kuwaita mashahidi."
nambaritbne bo A che kimuch konyoru koname kochut fomit akemge ko alen milionit akenge,Idadi ya A  alizowahi kupata tangu kuingia kidato cha kwanza zilikuwa kama milioni moja  hivi.   
toreti mising mishipishek eng oleloo yoginyoru karit kotinye ole magararan ne muuch kakikwere,Mishipi husaidia pakubwa wakati gari linapatikana na tatizo hasa la kugongwa.
Mache ketoy oratinwek ab kabiset ab peek,"Aidha, kuanzisha mtindo wa unyunizaji"
kale kanetik chang lakok  che matinye kalamok ,Mwalimu  amesema ni wengi hawana kalamu 
Matiwe negit koruryo amitwogik,Usiende chakula ki karibu kuiva
Mamakaat chelososnatet ako akoi kotebi kandoik tukulkomye,Uhalifu wowte hautakikani na lazima kila kiongozi akae vyema
Kiutye koser kole ane ko nearibe,Walisahau kuandika kuwa ni mimi mdhamini wake.
manyoru biik alak koroito noto,watu wengine hawakuwahi pata ugonjwa huo
Ngotkitakany eng chebo Musa igere chebo pharao,Ukistaajabu ya Musa utaona wa Firauni.
miten ruset negiyayak kenyitab elubushek aek chegigosirto,Kuna ajali iliyofanyika mwaka wa elfu mbili
letaet'ab kutikab korona kokoib meetab piik,kusambaa kwa virusi vya korona kumeleta vifo ya watu
yeandochi emet oriib biik kokerkeit,Nikiwa Rais nitaongoza watu kwa usawa
konyil chechang igerei lagookab koi noto kourerensot,Mara nyingi utawaona watoto wa nyumba hizi wakicheza barabarani.
Kimomg ngetundo noto akotou koyon cheptikirchek choto,"Hapo ndipo simba huyo alipotokea na kuanza kuwakimbiza.   	"
 Kimilta mpiret konetinte eng ole kiurerenei," Mwalimu aliangushwa na mpira uwanjani,"
Kiyoe teksosiek kotestai emenyo mising,Miundo msingi bora humu nchini imeifanya nchi yetu kuendelea
kikitoorchini kunet ak koyaat biik akobo komonutie nebo kotoswek,ilikusudiwa kufundisha na kuhamasisha watu kuhusu umuhimu wa ukabila. 
Koru eng kitok,Alijitosa kitandani.
ane ko kiamwa ale amiani ak ko kimoko Iman sai ko kikefutana Kasi,Mimi nilisingizia ugonjwa na ndipo nimefutwa.
 Kele iumnyoni ndwele anchon che imeche kenyain Haji.,Unasema unaugua ndwele gani Haji hiyo ambayo unataka kutibiwa.
Amu mitei kanyoiset kikoboit biik che chang' misng,Juu ya haya kuwepo kwa matibabu watu wengi wamefurahi sana
eng teset ko urerioshiek chechang che kokonyor kaimutiet,kuongezea michezo imeathirika pakubwa.
 Lobotii ab kenya ko kokokisiryo eng labatee che terotin.,Wanariadha wa Kenya wamefanikiwa si tu katika mbio mbalimbali.
Kitoretigei eng boishoshek chepo kaa,. Tunasaidiana katika majukumu ya nyumbani. 
Ikonyok boisionik ,Kazi zawangoja!
bik chetupcho ko komwa eng ngwanindo neo mising,Jamaa alilipuka kwa hamaki na kumzushia aliyekua akisimamia
kikurchi chapati ak inkonchet,Alimuagizia chapati na kuku.
kolu omitwokik chechang komostab Muhoroni,Eneo la Muhoroni ndilo huzalisha chakula kingi.
unoto kotoi chorwandit ak laak ab sugul,Hivyo ndivyo alianza urafiki na wanafunzi wa shule.
achamin eng' orit nebo muguleldo nyun orit,Nakupenda kwa undani wa moyo wangu.
Kiikoch ngecheret Kipokeo ,Alimpa Kipokeo kigoda.
ki mekat kotinyei kipsomaninik bandalisiek sikusoman eng' mtandaoit,Wanafunzi walihitaji bandali ili waweze kusoma kwenye mitandao
kikicheru biik che chang' eng' boisionik koboto biik che yoe eng' mikawasiek ak chemito ofisisiek,watu wengi wamepigwa Kalamu hasa madereva wahudumu wanahoteli na hata waliomo maofisini. 
Kilos kabusetab bik  kingokulei orit koristo ak koisto sang ,Mipumuo ya watu ilisikika kila walipovuta ndani hewa na kuitoa nje.
Saisyek alak ko magat kemuite," Mara nyingine, tunapaswa kuvumilia "
Imuchi ilipan sukulinyo,utaweza kulipa karo yetu?
korik chemiten taban oret ,Nyumba zilizoko karibu na barabara
"korotwekab nyung'unyek,olyet neya ak waletab koristo chenyeren kesutik","ni magonjwa ya mchanga , bei mbovu na mabadiliko ya hali ya hewa ambayo huathiri mazao."
konyek cheg'uk kou banda ab  pek, Upeo wa macho yako ni kama safari ya bahari.
Kimwoch konetindet neo Kijasiri ,Hedmasta alimwambia Kijasiri.
kitiny mising che kiyosit koroito noto,Wazee waliathirika sana na ugonjwa huo
kipun uinwek ine komiten kasit ,Alikabiliwa na wakati mgumu ofisini.
Kasuldaetab chopet eng mashinishiek ak tukuk che kiboishie eng mungaret,Uhakikisha ukarabati na matengenezo ya mashine na vifaa zinazotumika katika biashara
Mung'aret ab kipakenge,Biashara ya ushirikiano
kiyekakobata meenyin ko tokosirat eng metewek ak mukulelwek chebo chechang, baada ya kifo chake pia angali ameandikwa akilini na nyayoni mwa wengi. 
nyoisirtoi eng oret kararan igeer tai ak katam,Wakati wa kuvuka barabara ni muhimu uone kulia na kushoto.
Kabatishet ko toloitaab emenyo,Kilimo ni uti wa mgongo wa taifa letu.
Kiwo agenge agenge akoi yautikab kapkirwok ,"Sijui ni kipi kilichomvuta Asisi lakini alipomaliza kusoma sehemu ya michezo, alienda moja kwa moja kwenye kwenye sehemu ya visa vya mahakamani."
Kisosio konentinte nebo klass akenge ak sikiik., Mwalimu wa darasa la kwanza alikosana na wazazi.
Kitebe MA lagokchi kora,MA akawauliza wanawe tena.
magaat keneti biik agoba tuguk chemagat kesuup chebo oret asigogerta rusetab karishek,yafaa kuwaelimisha adinasi sheria za barabarani ili kupunguza ajali.
Boishet neo ak kokiletab gee kosiche tuguk chekororon,Kazi kubwa na bidii inazaa matunda mazuri
Kamatit netononchini seneta kiplagat komwoe kole  akoi kondoita komye,Kamati iliyosimamiwa na Seneta Kiplagat inasema kuwa lazima waongoze vyema
chebo boishet ago toreti kongeringitu kemwee eng komoswek cheechen,za kazi na hupunguza uhamiaji mjini.
  Ako ingen keteshe ne be lagok kole iumianik weriik.,wa wizara wafahamu kuwa mtoto wa jinsia ya kiume anaumia?  
 nyo kebe ketoben ngalek chi eng sukul., Kuja tuende tushughulikia maneno yake ya shule.
nget wiy kaitou iusa,hebu nenda unaanza kunisumbua akili
komautye sugulinyo nebo kipsoen,Bila kusahau shule yetu ya kipsoen
tagu piik sirik ab logoiywek kole yaach ne kata kandoik,Badala wanasiasa waonekana wabaya na wanahabari ndiyo wanaonekana wabaya.
kilal kot ab  kandoindet amut ,Nyumba ya  Kiongozi ilichomeka 
ineti emet aketukul kipsomaninik akobo weli kitoune emet,Kila nchi hufunza wanafunzi wao kuhusu historia ya nchi yao.
kiwolu mung'arenikab chii,Biashara za kibinafsi na ya kimataifa ilirudi chini mnamo mwaka elfu mbili ishirini.
kenyoru meet ago umianso biik,Hili husababisha vifo na majeruhi.
chamiet nebo kap chii kobo kamangut,Upendo wa familia ni muhimu
Kakiletapkei age tugul ko tesyin eng pandap kesir,Kila jitihada inachangia kwenye safari ya mafanikio.
Kokiker oranatak amun tekset,Barabara hiyo imefungwa kutokana na ujenzi.
Ako maguitosi chechang ,Ni mengi na siyaelewi.
Konyiti kanetik kwag kipsomaninik chun, Wanafunzi wale wanawaheshimu walimu wao
"Nebo iman, matos kenai ngalek chemuch kobit eng karoninyo","Ama kweli, hatuwezi tukajua kuhusu kesho yetu"
yoe kipsomaninik boisinik ab kaa ye kankoitu kobunuu sukul, Wanafunzi baada ya shuleni hufanya kazi za nyumbani.
olegiamishen cheu Berke chemiten olin bo chembulet kegeerei,Hoteli kama vile Barke iliyokuwa chembulet ilifungwa
Kakonoret ab amitwogik eng' choge ko toreti komanam tutuinik ,Uhifadhi wa vyakula kwenye maghala unasaidia kuhifadhi chakula kutokamana na wadudu na ndege ambao hula mazao.
Nyoru kimnatet kabatik nda ger kole po kamanut ichet eng' kapchii,Wakulima watapata motisha kwa sababu wataona umuhimu wao katika jamii.
Musarekap mosongik ko amitwogikap karon,Uji wa mtama ni chakula cha asubuhi.
Timit ab teknoloji kokiyay kasit konde online kaniset,Timu ya teknolojia ilifanya kazi kuboresha uwepo wa kanisa mtandaoni.
Tuguk chotok kou plauit jembet ak rekit,"Vifaa hivo ni kama fyekeo, plau, sepeto, jembe na hata reki."
Korom nea mungaret kometinye muitaet,Biashara bila uvumilivu ni ngumu sana
Kaperuret itinye chi choronok ap iman, Kuwa na marafiki wa kweli ni baraka 
Tesetai kabatik ak batishet amu nyalildos biik ko mamito icheget,"Wakulima wataweza kuendeleza kilimo maana bila ya wakulima, binadamu watapata tabu na kuhangaika kutafuta chakula."
toretuu somanee kutech emee kotonon komie, Elimu imesaidia kujenga imara wa taifa.
Eng' notok anyun ripset notok ko kiyae kotelel mising',Hivyo basi ufadhili huo utawaimarisha zaidi.
Kibun basit nyo olekimii beliotinik choto akotiny,Basi letu lilipita karibu na ndovu hao na  mmoja alisogea karibu na basi letu na kuligusa.  
 Sich kemou ne tala chorwenyuu.," Kuwa na usiku mwema, rafiki yangu."
Kinyigan Jasiri ako kamat,"Jasiri, mkakamavu na shujaa."
