Kidaw'ida,Kiswahili
Moda ghose ghobuka maria.,Mto wote umemea mafunjo.
Ija ni mbari ya w'andu w'alacha w'achilu fii.,Ile ni kabila ya watu warefu weusi tititi.
Kukadumwa kughende shwa-shwa.,Ukitumwa uende haraka-haraka.
Iruw'a jikakala  ni ngelo ekuw'ida.,Jua likiwaka ni mda wakuvuna.
Nalolie andu kwapo nikuvisagha kaw'ona nisekunde kusumbulwa.,Nimetafuta mahali pangu pakujificha kama sitaki kusumbuliwa.
Nasungia mbwaeri kufuma andu kwapo niko.,Ninachungulia polepole kutoka mahali pangu nilipo.
Rasigharika rijigho ni nyonyi ngelo ya pwari.,Hubaki ziliwe na ndege msimu wa baridi.
Mbogho iro rahoresha andu kuko na nyasi ngelo ya pwari na sumesu.,Nyati hao hustarehe katika maeneo yenye nyasi wakati wa kiangazi na baridi kali
Mbela ni nyamandu ridiw'agha rikulo chwembe.,Vifaru ni wanyama wanaowindwa kwa manufaa ya pembe zao.
Chwembe raw'o razoghorwa noko kimonu.,Pembe zao huuzwa nje ya nchi.
Inyo w'andu w'ose mkaiagha w'urumwengunyi.,Nyie watu wote mishio ulimwenguni.
Bendera ikawusirwa mghondinyi mzighane.,Bendera ikiinuliwa mlimani tazameni.
Tarumbeta ikakabwa msikire.,Tarumbeta ikipigwa sikizeni.
W'uda ghwa Runda ghoresigha gharia kula andu.,Vita vya Rwanda viliacha mizoga kila mahali.
W'afunyire manosi ghaenga kutesia mkongo waw'o.,Wametoa sadaka nyingi ya kusaidia mgonjwa wao.
Irina ja Bwana jineko w'ubaa na nguma.,Jina la Bwana lipewe utukufu na utawala.
Walasa iseghe ukijoka noko lughu.,Amepiga mbio akienda huko juu.
Ugho ni msughusiko ghwaida.,Huo ni mtetemeko umepita.
Ndoukundagha kunyavura luma lwa penyu.,Hapendi mwendo wa kasi saa za jioni.
Wajighwa ni chongo chisesikiragha w'ughanga.,Anaumwa na kichwa hata hakisikii dawa.
"Ugho w'uda ghoreka ghwa w'eni kwa w'eni, mndu na mruna.","Hiyo vita vilikuwa vya wenyewe kwa wenyeke, mtu na ndugu."
Ochanona mipango yaw'o putu.,Aliharibu mipango yao kabisa.
Uja mndu ni msaw'I  sena ni mrighiti.,Yule mtu ni mchawi tena ni mganga.
Machi gharo gheka ghikipungua nwao ghikaoma.,Maji yake yalikuwa yakipungua mwishowe yalikauka.
Cheko kilambo chimu chinukagha kuw'oa.,Kuna kitu fulani kinachonuka kuoza.
Simanyire kwaki udarume huw'u.,Sijui kwanini amekonda vile.
W'aluki na w'andu wa mafungu w'ichakaia na w'asi.,Wanaosuka na watu wa kuajiriwa watakuwa na shida.
Mzuri wafunya mawoni gha wukelu.,Mtawala anatoa maoni ya upuzi.
Kudima w'ada kuzera mndu nashomie kusene w'ongo?,Unawezaje kumwambia mtu umesoma na huna ubongo?
W'anjama w'ako w'iko na hikima w'eko hao?,Washauri wako walio na hekima wako wapi?
Kwaki w'ibonyagha malagho kisha-kisha?,Kwa nini wanafanya mambo hovyo-hovyo?
Namb'ona hoyo waida ukiw'alalia sa m'bongeri.,Nimemuona huyo anarayumbayumba kama mlevi.
Ndouchedima kubonya ilagho jingi.,Hakuweza kufanya jambo lolote.
Wachulwa ni w'ow'a mpaka ukasughusika.,Amejawa na uoga mpaka akatetemeka.
W'erekoghe w'arumiriana ela ochaghalua maghesho.,Walikuwa wamekubaliana lakini aligeuza nia.
Wavoya uneko ifwa jape ni ndee.,Anaomba apewe urithi wake na baba yake.
Ghenda kuinje iyo nguw'o vui kuro zima ya ishima.,Nemnda uivue hiyo nguo fupi uvae ndefu yenye heshima.
Kala w'andu mzinyi ndew'ererwaa vadu.,Zamani nyumbani watu hawakuvaa viatu.
W'araenda maghu maduu.,Walitemeba miguu chuma.
"W'andu w'ereshoghonokagha nandighi,  kukuw'a na kudungwa ni minjwa.",Watu walipata ajali sana za kujikwaa na kudungwa na miiba. 
W'ai w'arwa vidushu ni sa kuenda duu na mashimba mwari.,Wasichana wanavaa nguo fupi ni kama kutembea tuputupu matako nje.
W'efwana w'ifusho w'aya wighaluke.,Infaa waaibishwe ili wageuke.
Niko w'andu w'ichafwa w'aya na kushinika.,Ndio watu wataaibika na kushangaa.
W'onenyi agha ghaw'ipata w'andu.,Tazameni yale yaliyowapata watu.
Decha kwaw'o w'iditesie na kudikira na w'asi.,Tulikuja kwao ili watusaidie na kutuokoa na shida.
Da isi dikiagha w'ada?,"Je, tutaokoka vipi?"
Daw'onie malagho ghikurie mwaka ghusirie!,Tumeona mambo ya ajabu mwaka uliopita!
Ni sa mka ukumbagha lufu kwa kuva.,Ni kama mwanamke hupata uchungu wa kuzaa.
Naw'ona karamu yakaia tayari.,Nimeona karamu iko tayari.
"Meza yaalwa, w'andu w'aja kuja na kunywa.","Meza imeandaliwa, watu wanakula na kunywa."
W'ikenyi mlindiri umghorie ghaja ughiw'onagha.,Wekeni askari awaambie yale atakayoyaona.
Kumzere uzighane ilagho ijo loli-loli.,Umwambie aangalie jambo hilo kweli-kweli.
Okenyi simanyire uja nani waw'iacha na farasi.,Jameni sijui nani yule anayekuja akipeleka farasi.
Kio chaw'uya kilacha ndoe ielaa lii?,Usiku umekuwa mrefu kutakucha lini?
Nighorie chasighwa ching'ane wada?,Niambie kimebaki kipimo gani?
"Ndoe yaaw'iyaela, ela kio chichacha sena.",Kunakucha lakini usiku utarudi tena.
"Ngera kwakunde kukotia sena, w'uya kukotie.","Kama unataka kuuliza tena, rudi uulize."
W'inekenyi machi ghenywa na vindo w'ije.,Wapeni maji ya kunywa na chakula wale.
Mwabonya kambi renyu visachinyi.,Mmefanya kambi zenu vichakani.
W'uda ghwabukie ghubirie aghadi ya iro mbari I'wi.,"Vita vimezuka vikali kati ya hizo kabila ,mbili."
Kutambua kwaro niki inyo w'ose kujoka aighu nyumbenyi mwambori?,Maana yake ni nini nyinyi kupanda juu ya kilele cha nyumba?
Nyamenyi chuku iyo ndoghoi yazidi.,Nyamazeni kimya hiyo kelele imezidi.
W'ew'adwa w'isekumbie hata iwanu jimweri.,Walikamatwa bila kurusha hata mshale mmoja.
"Nileke, nisighe nikeme kwa kuw'aw'a.","Niache, niache nilie kwa uchungu."
Mseketima kuninyamirisha mana ngolo yapo yadumbuka.,Msijaribu kuninyamazisha kwani moyo wangu umevunjika.
Ovurughwa akili ni w'ambao w'irudagha ikoja.,Amevurugwa akili na wenzao wanaovuta tumbaku.
"Nafwanilwa, kere w'ada jeko jape jimu nisejimanyagha.","Ninadhani, pengine kuna lake lingine ambalo silijui."
Ebarika chughuima raenga hata ndeikaikiagha.,Imepasuka nyufa nyingi hata haikaliki.
Mukalaw'ua iyo nyumba muw'onagha iro chughuma.,Mkikagua nyumba hiyo mtaziona nyufa hizo.
Oarwa chongo mana ongilwa ni inda.,Amenyolewa kichwa kwa sababu ana chawa.
Ndedije na kunywa angu kesho dafwa.,Natule na tunywe maana kesho tunakufa.
"W'elee, niki kubonyagha aha?","Je, unafanya nini hapa?"
Vose orekoghe navo vechasigharika anyaho.,Vyote alivyokuwa navyo vilibaki hapohapo.
Ndoufwaa w'aya kughora tee imbiri ya w'andu?,Haoni haya kusema uongo mbele ya watu?
Kula mndu na kilingo chape.,Kila mtu na mzigo wake.
Vilambo vikaw'ikwa chienyi vadima kukuw'ara wandu.,Vitu vikiwekwa njiana ninaweza kukwaza watu.
"Ucharughua na mndungi ndechaarugha, ucharugha na mndungi ndechaarughua.","Atafungua na hakuna atakaye funga, atafunga na hakuna atakayefungua."
Kichuku chape chose chakusaghika nao.,Ukoo wake wote unamtegemea.
"Ni w'ulemeri m'baa kwape, kwa kukaia w'echammbikiria maza rose.",Ni uzito mkuu kwake kwa sababu wamembebesha mambo yote.
Ugho msumari ghorekamangiriloghe ghosughusika ghukafuma.,Huo msumari uliopigiliwa umetingishika ukatoka.
Jingi silelie wana wa womi hata wa waka.,Sijawahi kulea watoto wa kike au wa kiume.
Mlime isanga jenyu si huw'o msoko.,Mlime nchi yenu au sio mpokonywe.
Waborie chumbo nyingi risingie.,Ameimba nyimbo nyingi tamu.
Nymba rerughwa mndungi usengie.,Nyumba zimefungwa asiingie yeyote.
Nichakukuma na kujikasa irina jako.,Nitalihimidi na kulisifu jina lako.
Angu oho kwabonya maza ra mashiniko.,Kwa sababu wewe umefanya maajabu.
Mipango ya hachi na loli koreibonyereghe kokala.,Mipango ya haki na kweli uliifanya zamani.
W'andu w'iw'adie ndighi w'ichakukasa oho.,Watu walio na nguvu watakusifu wewe.
Diende kijunyi kwa w'undu ghwa mruke.,Twende kivulini kwa sababu ya joto.
Oho korekoghe ngome imange kwa mkiw'a.,Wewe ulikuwa ngome imara kwa maskini.
W'andu w'a mbari ring'etere w'ichakuobua.,Watu wa kabila zilizojaa dharau zitakuogopa.
Kula mndu oka na chumba chape.,Kila mtu ana chumba chake.
Choonyi wandu wapo diende Ikanisenyi.,Njooni watu wandu twende kanisani.
Rughenyi mnyango dilombe.,Fungeni mlango tuombe.
Ugho w'asi ni kwa w'undu ghwa kaung'a raw'o.,Hio shida nimkwa sababu ya dhambi zao.
Nadaghulindia kio na dime eri mndungi useghubonye ilagho jingi.,Ninaulinda usiku na mchana ili yeyote asiufanyie chochote.
Siw'adie machu ghangi wala siw'ikia mndungi ngenga.,Sina hasira na mtu wala simwekei yeyote kinyongo.
Ndew'iche w'ibonye sere na ini diboise malagho.,Nawaje tufanye amani nami tutengeneze mambo.
Obonya w'umaiza na w'andu w'ose.,Amefanya uadui na watu wote.
Matuku ghichagha dasuw'iria lukundo luchurikie.,Siku sijazo tunatumaini upendo utaongezeka.
Ughu mdi ghwavae mpaka mbashu reghomeka.,Mti huu umezaa hadi matawi yameinama.
"Midi yaro ikaoma, yachika na w'aka w'acha na kuishoa mbande na kurikora.","Miti hiyo ikikauka , huvunjika na wanawake huja na kuokota kuni na kuzichoma."
W'andu aw'a ndew'itambukilwagha.,Watu hawa hawaelewi.
Ni bugha kwa wuzuri ghukukasire.,Ole kwa utawala unaojivuna.
W'ubaa ghwaro ghwaw'uyaida sa kirumbu cha mboi.,Ukuu huo unapita kama taji la maua.
W'akukasa kwa kukushinga marumba.,Wanaringa kwa kujipaka marashi.
Ela waawuyabwaghwa ni chofi.,Lakini wanauwawa na pombe.
W'andu w'alaghashwa ni w'uw'ongeri ghwa divei na kutatarishwa ni chofi ibirie.,Watu hupotea kwa sababu ya ulevi wa divei na kuyumbayumba kwa pombe kali.
Kula andu kochua madaika hata ndekuko andu kungi kuseko na w'uchafu.,Kila mahali kumejaa matapishi hata hakuna mahali mpopote pasipo na uchafu.
W'esinda nideda w'ikighoghoriana nendaida.,Walikuwa wakinisengenya wakinong'onezana  nilpopita.
Mkalegha kunisikira mwalaghaya.,Mkikataa kunisikiza mtapotea.
"Kwa kukaia dakusaghikie na tee, na kukuvisa na w'uw'iw'i.",Kwa sababu tumeegemea uwongo na kujificha kwa uovu.
Kwa w'undu ghwa msingi ghumange ija nyumba yadima kukaia ni ya gorofa.,"Kwa sababu ya msingi imara, ile nyumba inawezakuwa ni ya gorofa."
Vua yanyee aha ya magho.,Mvua imenyesha hapa ya mawe.
Mchakaia sa mundu ulaliagha w'uli mvui nandighi usekatagha.,Mtakuwa kama mtu anayelalia kitanda kifupi kisichomtoshea.
Kwaki msekaaseka sa majuha?,Kwanini mnachekacheka kama majuha?
Ihi kamba yazitirikia yanlema kulegheresha.,Hii kamba imekazika inanishinda kulegeza.
Deghenyi madu msikirie lwaka lwapo ludendere na lusingie.,Tegeni masikio msikize sauti yangu nyororo na tamu.
Mbuw'a nderilimwagha ngelo rose.,Shamba hazilimwi kila mda wote.
Waw'ae soko na mngulu na mbeu zimazima.,Amepanda pojo na maharagwe na mbegu tofauti.
 Soko rikakuw'idwa rakabwa na kamudi.,Pojo zikivunwa hupikwa na mti mdogo.
Ndembe rikakabwa na mdi m'baa ranoneka.,Tembe zikipigwa na mti mkubwa huharibika.
Mche shaw'ori eri disekechelewa.,Mje haraka ili tusichelewe.
Kukakaia na njala kwaloda kwaw'iaja ela kukaw'uka kwadoka njala iduaa.,Ukiwa na njaa unaota kuwa unakula lakini ukiamka unapata njaa bado ipo.
Nasikira kau n'nekenyi machi ghenywa.,Nasikia kiu naomba maji ya kunywa.
"Kubonyenyi mmbeni kukaia vitungure, nenyo mmbuye vitungure.",Jifanyeni kuwa vipofu na mtakuwa vipofu.
Neka na dilo nyiongi seji w'ei silale kafwani.,Nina usingizi mwingi ni kama sijalala hivi karibuni.
Oko mndungi uichi kushoma uneko chuo udishomie?,Kuna mtu anajua kusoma apewe kitabu atusomee?
Sidimagha kuchishoma angu chikabilo mhuri.,Siwezi kukisoma kwa sababu kimepigwa mhuri.
Kunitasa kwaw'o ni kwa momu ghoni ngelo ngolo raw'o riko kula.,Kuniabudu kwao ni kwa mdomo tu ilhali mioyo yao iko mbali.
Wabonyere maza reshinua w'andu.,Amefanya mambo ya kushangaza watu.
Kila w'uja omoni ni mwana mkiw'a.,Kumbe vile yeye ni mtoto yatima.
Oho ndekumanyagha agho kughoragha.,Wewe hujui yale unayoyasema.
"Vitungure w'ikaiagha kirenyi, meso ghaw'o ghichafunguka w'iw'one.",Vipofu wanaokaa gizani watafunguka macho yao na waone.
"W'eka na lung'eto, lubando na lumenyo sena ndew'ine kilambo chingi.","Wana ujeuri, kiburi, na madharau ilhali hawana chochote."
Ndew'iw'adie suku mana w'ikuw'idagha mafungu gharo.,Hawana hekima maana watavuna walichopanda.
Orelow'olwa Chaw'ia ela w'ikahamia Mwatate.,Aliolewa Chaw'ia lakini walihamia Mwatate.
W'aw'a wa w'aka oredukwa uko kamwai ka miaka ikumi na misanu.,Nyanya wa upande wa mama alibebwa akliwa na miaka kumi na mitano.
W'ai w'a kidaw'ida kala w'araaikwa imbiri ya kulow'olwa.,Wasichana wa kitaita zamani waliwekwa nyumbani kwa mwezi mmoja kabla ya kuolewa.
Nakila w'uja orezighirilwa.,Kumbe vile alisingiziwa.
Oka udonwagha Talaji.,Anarembeshwa katika sebule.
"Ai, loli Mlungu ni mcha.",Ah kweli Mungu ni mwema.
Lwaka lwa Mlungu kukalusikira ndokudimagha kulupuzia.,Sauti ya Mungu ukiisikia huwezi kuipuuza.
Ingelo Mlungu ukabaa w'andu na zobo yape niko w'im'manyaa.,Wakati Mungu atawachapa watu na gongo lake ndio watamfahamu.
Nerekundeghe na nimoni niende w'upenyi ela nechaw'ona nihore.,Nilitamani kwenda mazungumzoni ya mahari lakini nikaona nipoe.
Mifugho redu reko na nyasi ikate.,Mifugo zetu zina nyasi ya kutosha.
Oka na ng'ombe imweri ya tagho na njau imweri.,Ana ng'ombe m'moja wa kike na m'moja dume.
Mzi ghwa W'undanyi gholema kuzoghua angu w'ulao ndeghuko.,Mji wa Wundanyi haukuweza kupanuka kwa sababu ya ukosefu wa nafasi.
Wadee magome malazi ukitima ichi na chija.,Amepoteza fedha nyingi akijaribu hiki na kile.
"Ola chia ni iyo, muinughe; ngelo mghalukagha mkonu ghwa kiwomi angu ghwa kiwaka.",Njia ndiyo hiyo muifuate mkienda mkono wa kulia au kushoto.
Watiririkie luma koni na ughu w'ukongo imbiri usesaghie.,Ameteseka na ugonjwa huo kwa mda mrefu mbele ya kufariki.
Mlungu ndechasigha kuw'irasimia w'andu w'ape.,Mungu hataacha kuwabariki watu wake.
Naw'oka kusikira njala danu.,Nimeanza kusikia njaa sasa.
Mlungu ukanizera niende saenda.,Mungu akiniambia niende si nitaenda.
Kadaw'ana kape kavika miaka idadu.,Mwanawe wa kiume amefikia miaka mitatu.
Daw'angilo karamu ya mwana wa mwanedu.,Tumealikwa karamu ya mpwa wangu.
Wafushikie w'aya danu angu uselombagha w'ughoma ghesia w'oruw'o.,Ameaibika lakini kwa vile haombi msamaha yaliisha hivyo.
"Aw'o w'ichulo ni mazughunuko, w'icharumiria mafundisho.",Wale waliojaa manung'uniko watakubali mafundisho.
W'adaw'ida w'ose w'ekanya vichuku.,Wataita wote wana ukoo.
"Wachaghirie mandu adadu kwa w'omi w'azima, uko si kushughunuka?","Alihamia kuishi na wanaume tofauti mara tatu, hivyo si ni kukosa adabu?"
Niko uw'okaa kunzaruma na kunisheghia okunda dilo.,Ndipo akaanza kunichokoza na kujiandaa tupigane!
"Harusi yaw'urwa, maka na mbande ghawikilo tayari kwa wungi.","Harusi imeiva, makaa yako tayari na kuni pia kwa wingi."
Wagalie kwa mae konkala uko.,Amerudi kwa mama yake kitamboje.
Onyigharika isavio hata ndoudimagha kuenda.,Alipinda kifundo cha mguu hadi hawezi ketembea.
Okitwa ni mbao ukakumba magome kwa kampuni iseko.,Alidanganywa na mwenzake akaweka fedha kwa kampuni ambayo haikuwepo.
Mwaka ghusirie isanga jerengirilwa ni zighe.,Mwaka uliopita nchi ilivamiwa na nzige.
"Kukameria kunona, kuchanonwa.","Ukimaliza kuharibu, nawe utaharibiwa."
"Kukameria kukalia, kuchakalilwa.",Ukimaliza kudanganya nawe utadanganywa.
Nashinika angu mwaghaluka shwa-shwa.,Nimeshangaa mmegeuka haraka.
Ela w'eko w'andu w'amu w'awuyamjisha w'asi .,Lakini kuna watu wengine wanaowapa shida.
Fungenyi ndighi loli-loli kuiw'adia mizango ya w'eke aba.,Fanyeni bidii kweli-kweli kuishikilia desturi ya baba zetu.
"Mlungu, nuo orenisaghueghe imbiri nisevalo.",Mungu ndiye aliyenichagua kabla sijazaliwa.
Najokieghe noko lungu nema ngachaseagha noko isi.,Nilipanda huko juu halafu nikateremka hapo chini.
Ilagho Jiboie nawuyajichila aghadi ya wandu wa mbari zima.,Ninahubiri Injili kati ya watu wa kabila tofauti.
Isechekaia ngera kwa chia ingi namkoserie.,Isiwe labda kwa njia fulani nimewakosea.
Aw'o w'erengirieghe kuzighana w'uhuru ghodu diko nagho.,Hao walioingia kutazama uhuru wetu tulio nao.
Isi ndederekuw'ikieghe aisi kwaw'o hata kutini.,Sisi hatukukwazika chini yao hata kidogo.
Eri iyo loli ya Ilagho Jiboie ipate kulindilwa kwa w'undu ghonyu.,Ili hiyo kweli ya Habari Njema ipate kuchungwa kwa sababu yenu.
Elaima ini siw'onagha w'uchumbano ghungi aighu ya seji w'erekoghe,Ingawaje mimi sioni tofauti yeyote juu ja vile walivyokuwa.
Mlungu ndemtalagha m'ndungi kuchumba m'mbao anduangi.,Mungu hamhesabu mtu yeyote kuliko mwenzake kamwe.
Ndew'erenichurieghe kindo chingi.,Hawakuniongezea chochote.
Nerenekeloghe kazi ew'ichilia w'andu w'iseshamishiro ijo Ilagho Jiboie.,Nilipewa kazi ya kuhubiria watu ambao hawakutahiriwa hiyo Habari Njema.
Nuo moni ubonyere kazi ukinitumia kwa wundu ghwa w'udumiki.,Ndiye aliyefanya kazi kunitumia kwa sababu ya utumishi.
Mwaw'ona seji ninekelo ghuja mvono ghwa Kristo.,M'meona jinsi nilivyopewa neema ya Kristo.
Omoni nio nguro ya ghuja mzi.,Yeye ndiye nguzo ya hiyo familia.
Ilagho jimweri w'eredizerieghe ni angu diw'ikumbuke w'akiw'a.,Kitu kimoja walichotuambia ni tuwakumbuke maskini.
Najo ni ilagho ini moni nerefungieghe ndighi kujibonya.,Na ni jambo mimi mwenyewe nilifanya bidii kulifanya.
Orekoghe ukijanya na w'andu wa mbari zima.,Alikuwa akila na watu wa kabila zingine.
Ukakuw'unja nyuma na kukutanya naw'o.,Alijirudisha nyuma na kujitenga nao.
Kwa kuw'iobua w'aja w'andu w'azima.,Kwa kuwaogopa wale watu wengine.
Nerew'onieghe angu ndew'ereghendieghe nicha karakara na loli.,Niliona kuwa hawakutembea vizuri kulingana na kweli.
Kusekelazimisha w'andu w'azima w'ikaie sa kumoni.,Usiwalazimishe watu wengine wakae kama wewe.
 Daichi wori mdamu ndetalwagha kukaia na hachi kwa chia ya mabonyo gha Sharia.,Tunajua kuwa mwanadamu hahesabiwi kuwa na haki kwa njia ya matendo ya Sheria.
"Nesi deerumiria kwa Kristo Jesu, eri ditalo kukaia na hachi.",Nasi tumeamini kwa Kristo ili kuhesabiwa kuwa na haki.
Loli kula mdamu oka mkosi.,Kweli kila mwanadamu ni mkosaji.
Na ngolo ya mdamu ezama kufuma aho.,Na rohi ya mwanadamu ni mbaya tangu hapo.
Ini namerie kusulubishwa andwamweri na Kristo.,Mimi nimekwisha kusulubiwa pamoja na Kristo.
Na si ini ungi naw'uyakaia moyo.,Na si mimi niliye hai.
Ela Kristo nuo uko moyo andenyi kwapo,Bali Kristo ndiye yuko hai ndani yangu.
Na uko kukaia moyo niko nako mumbinyi.,Na huo uhai nilio nao ndani ya mwili.
Naaw'uyakaia moyo kwa irumirio.,Niko hai kwa imani.
Ngimrumiria Mwana wa Mlungu,Nikimwamini Mwana wa Mungu.
Uo orenikundeghe na kukufunya uo moni kwa w'undu ghwapo.,Yeye alinipenda na kujitoa mwenyewe kwa ajili yangu.
Sidimagha kughukana mvono ghwa Mlungu,Siwezi kuikana neema ya Mungu.
Mndu oboisa choro hoyo wangia.,Yule fundi wa kutengeneza choo ameingia.
Ni kufuyana w'ughma kula ituku.,Ni kusameheana kila siku.
Mndungi ndeuko ukurikagha moni.,Halkuna mtu ajizikaye mwenyewe.
Ndedimanyagha kesho nani ukaiagha na w'asi.,Hatujui kesho ni nani atakuwa na shida.
Gha kala dighiliw'e noko.,Ya zamani tuyasahau kabisa.
Mana aw'a ni w'akichuku.,Maana hawa ni wa ukoo.
Ndeditesiane seji koni diteserelo hata ngera w'utesia ghorekoghe mtini.,Natusaidiane kama vile tulivyosaidiwa hata kama usaidizi ulikuwa mdogo.
Iyo ngolo iomie yafumie hao?,Hiyo roho ngumu imetoka wapi?
Ni sa kulasa mndu na iseghe uko andonyi.,Ni kama kumpiga mtu teke akiwa chini.
Ndemorenimenyereghe hata kunilegha anduangi.,Hamukunidharau au kunikataa kamwe.
Hata ngera saki w'ukongo ghwapo ghorekoghe itimo konyu.,Hata kama ugonjwa wangu ulikuwa jaribio kwenu.
Niko nerejichilieghe Ilagho Jiboie konyu kande.,Ndivyo niliihubiri Habari Njema kwenu kabla.
Nasuw'iria seji naghora ni karakara.,Ninatumai nilivyosema ni sawasawa.
Ngasikira kiw'iw'I konyu ni kwapo nangia w'ulinyi nihoreshe.,Nikisika vibaya kwenu ni kwangu nitaingia kitandani nipumzike.
Namanya nichagha ija karamu muniw'angie ya w'aw'a wapo.,Nafikiri nitakuja ile karamu mulionialika ya mjukuu wangu.
Hoku Mlungu wanifuye w'ughoma.,Naona Mungu amenionea huruma.
Naendie nganekwa w'ughanga.,Nilienda nikapewa dawa.
Ela hoku nafwanafwana.,Lakini nimepata nafuu.
W'uja mwamanyire angu kafwani koni nerekoghe mkongo?,Kwani m'mejua kuwa hivi karibuni nilikuwa mgonjwa?
Inyo ndemorenikosereghe kwa ilagho jingi.,Nyinyi hamjanikosea kwa jambo lolote.
Angu ini w'ori neka sa inyo w'eni.,Kwa sababu mimi pia niko kama nyinyi.
Namvoya w'anedu mkaie sa iji koni niko.,Nawaomba ndugu zangu make kama vile mimi nilivyo.
Mwanikambira chongo; kew'ada nebonya kazi nduu kwa w'undu ghonyu.,M'menihofisha huenda ikawa nimefanya kazi tupu juu yenu.
Na kukunda kuw'uya w'azumba w'aw'o kawi.,Na kutaka kuwa watumwa wao mara ya pili.
Na kuriw'uria sena rija roho ra w'urumwengu ughu ra w'ukiwa risew'adie ndighi?,Na kuirudia tena ile roho ra kiulimwengu huu wa umaskini na ukosefu wa nguvu?
Mwadima w'ada kuwuya nyuma?,Mnawezaje tena kurudi nyuma?
Ijo ni ilagho jekambira chongo.,Hilo ni jambo la kuhangaisha.
Ndediduagha w'ana w'atini w'iseichi ilagho jingi.,Hatungali watoto wachanga wasiojua jambo lolote.
Naghamba mtane na kukushuana.,Nimesema muwachane na kuraruana.
Angu inyo w'ose moko w'andu w'amweri.,Kwani nyinyi nyote n watu wamoja.
W'elee inyo mwabatiziro?,"Je, nyinyi mumebatizwa?"
Isi dimrumiriagha Kristo demrushwa omoni.,Sisi tunayemwamini Kristo tumemvishwa yeye.
Ndediduagha sena aisi ya mlindiri anduangi.,Hatupo tena chini ya mlinzi kamwe.
Irumirio jamerie kucha.,Imani imekwisha wasili.
W'andu w'aw'eseria malombi nwao vindo vifunukulo.,Wat wanangoa maombi halafu chakula kifunuliwe.
"Imbiri irumirio jisechee, derekoghe difungilo.","Kabla ya imani kuwadia, tulikuwa kifungoni."
W'urumwengu ghose ghooka kaung'enyi.,Ulimwengu wote umo dhambini.
Na kila w'etangalilwa anyaja moda m'baa ghuw'angwagha Katokora.,Kumbe walizuiliwa pale kuna mto mkubwa uitwao Katokora.
Ni ndoki sena kunilolagha?,Ni nini tena unachonitafutia?
Dameria kudikiana seji dibonyagha.,Tulikwisha kubaliana tutakavyofanya.
Nimneke mfwano ghwa maza ribonyekagha idakoni.,Niwape mfano wa mambo yanayotendeka hivi sasa.
Ndokune mndungi uw'ikagha ilaghiro.,Hakuna mtu yeyote awekaye ahadi.
"Uo ose utalilo kukaia na hachi kwa irumirio, uchakaia moyo.",Yeyote aliyehesabiwa kuwa na haki kwa imani ana uhai.
Idana yaw'oneka w'orinyi kukaia ndekuw'adie mndungi utalwagha kukaia na hachi.,Sasa imekuwa wazi kuwa hakina mtu yeyote anayehesabiwa kuwa na haki.
"Aw'o w'ikusaghikagha kwa mabonyo gha Sharia, w'eka aisi ya njow'e.",Wale wanaotegemea matendo ya Sheria wako chini ya laana.
Mlungu uchaaw'itala w'andu w'a mbari zima kukaia na hachi kwa irumirio.,Mungu atawahesabu watu wa kabila zingine kuwa wa haki kwa imani.
Kwa huwo mwaw'ona kukaia w'andu w'a irumirio niw'o w'iko w'ana w'a Abrahamu.,Kwa hivyo m'meona kuwa watu wa imani ndio kuwa wana wa Abrahamu.
"Ukamrumiria Mlungu, na kwake ikatalwa kukaia hachi.","Akamwamini Mungu, na kwake ikahesabuwa kuwa haki."
 Ini siw'onagha w'ei ni ra duu anduangi.,Mimi sioni kama ni ya bure kamwe.
Wabonyere maza ra w'eke mwaklambiti ukashinua w'andu.,Amefanya mambo ya kimiujiza akashangaza watu.
Huw'o maza rose rimpatire redeka ra duu?,Hivyo mambo yote yaliowapata yalikuwa bure tu?
Nambe moka w'akelu huw'u!,Kumbe nyinyi ni wajinga hivi!
Angu ni kwa kusikira kuko kwa chia ya irumirio.,Au ni kwa kusikia kupitia njia ya imani.
Namkotia ilagho jimweri,Nimewauliza swali moja.
Kwani nani umloghie mkaie w'andu w'ekalilwa huw'u?,Kwani ni nani amewaroga muwe watu wanaodanganywa hivi?
Yafwane mndu uende mboa mboa useshoghonoke.,Inafaa mtu aende polepole asiumie.
Mori ughu ghwa ikumi na iw'I ghwachee shwaw'ori.,Mwezi huu wa kumi na mbili umewadia haraka.
Ndoe yaswa niko mbeo yaw'eta.,Ni machweo ndio maana baridi imeingia.
Uko ni kusow'a chaw'ucha.,Hio ni kukosa asante.
Usekeghesha w'ei kesho ndouchakunda w'utesia.,Asifikiri eti hatahitaji msaada kesho.
Yabonyeria uhu mwanawaw'aka ononwa ni mae.,Inaonekana huyu msichana ameharibiwa na mamake.
Utanagha w'ada na mumi sena uhamie nyumbenyi kwape?,Atamwachaje mumewe tena ahamie nyumbani kwake?
Kaw'ona kwaobua kukoseria w'andu kwakanyangilwagha toe.,Kama unaogopa kukosea watu utakanyagwa siku zote.
W'andu w'elisa kutumia w'ambao.,Watu wamezoea kutumia wenzao.
Kaw'ona mndu usenekwagha w'ulalo ndoudimagha kuzoghua.,Kama mtu hapewi nafasi hawezi kukua.
Kwaghesha w'ei mndu ukazoghua miaka wazoghua akili w'ori ela hata.,Unawezakufikiri eti kukua kwa miaka kunalingana na ongezeko la akili lakini la sivyo.
